ticket_id,account_id,subject,category,status,priority,created_at,resolved_at,csat_score
35,168,Citizen case enjoy state.,feature_request,closed,high,2026-05-17 22:45:17,2026-05-18 00:45:17,2.0
36,63,Difference far whether vote few manage.,technical,resolved,medium,2026-05-17 22:48:35,2026-05-18 09:48:35,5.0
37,466,Positive full report my.,feature_request,closed,medium,2026-05-17 22:40:14,2026-05-19 08:40:14,2.0
38,267,Her offer member.,technical,resolved,low,2026-05-17 22:54:30,2026-05-19 00:54:30,5.0
39,40,Avoid him tree where.,billing,resolved,critical,2026-05-17 22:52:14,2026-05-18 01:52:14,4.0
40,263,Sit including edge identify.,technical,open,medium,2026-05-17 22:43:15,,
41,142,Public discussion item big billion especially that job.,billing,resolved,medium,2026-05-17 22:55:28,2026-05-19 03:55:28,5.0
42,455,Growth court personal according.,feature_request,open,medium,2026-05-17 22:40:33,,
43,187,Role later must own American same wind.,technical,closed,medium,2026-05-17 22:43:02,2026-05-19 00:43:02,5.0
44,73,Discussion perhaps charge success.,onboarding,resolved,medium,2026-05-17 22:42:15,2026-05-19 09:42:15,5.0
45,337,Field hard according size stand weight.,billing,in_progress,medium,2026-05-17 22:47:57,,
46,461,Today accept fish force church oil.,onboarding,closed,medium,2026-05-17 22:47:12,2026-05-18 07:47:12,3.0
47,174,Organization you agreement six southern interview.,onboarding,resolved,low,2026-05-17 22:39:48,2026-05-22 17:39:48,5.0
48,155,Gun hand understand issue film.,onboarding,closed,low,2026-05-17 22:46:23,2026-05-23 06:46:23,5.0
49,470,Memory without money everyone fight true positive.,billing,resolved,high,2026-05-17 22:51:11,2026-05-18 21:51:11,5.0
50,293,Indeed at morning method above carry.,technical,resolved,medium,2026-05-17 22:39:28,2026-05-18 08:39:28,5.0
51,29,Guy section down stuff.,billing,resolved,high,2026-05-17 22:45:52,2026-05-18 22:45:52,3.0
52,53,Experience research high box bar.,billing,open,medium,2026-05-17 22:45:22,,
53,294,Box name sound major give.,feature_request,open,high,2026-05-17 22:54:16,,
54,100,Next trip account move.,technical,resolved,critical,2026-05-17 22:47:17,2026-05-18 01:47:17,4.0
55,382,Bag newspaper score issue region adult difference.,onboarding,resolved,medium,2026-05-17 22:57:28,2026-05-20 00:57:28,5.0
56,255,Practice heart event over above maintain practice.,billing,resolved,high,2026-05-17 22:57:34,2026-05-18 07:57:34,1.0
57,376,Side become maintain maintain.,technical,resolved,high,2026-05-17 22:45:01,2026-05-18 14:45:01,4.0
58,164,Building role city factor moment prevent.,feature_request,resolved,high,2026-05-17 22:56:54,2026-05-18 01:56:54,2.0
59,366,Pattern offer past whom Mrs.,technical,open,low,2026-05-17 22:57:49,,
60,500,Same president office collection finally through kind.,technical,open,medium,2026-05-17 23:01:45,,
61,498,Line science than although know win.,technical,open,high,2026-05-17 22:47:08,,
62,202,Charge sister the interest whatever.,onboarding,resolved,high,2026-05-17 22:56:16,2026-05-18 14:56:16,5.0
63,299,Morning item happy community.,onboarding,open,low,2026-05-17 22:45:54,,
64,326,Involve decision make.,billing,resolved,low,2026-05-17 22:46:05,2026-05-22 17:46:05,4.0
65,34,Green worker together possible just fish common majority.,billing,resolved,medium,2026-05-17 22:40:00,2026-05-18 08:40:00,4.0
66,106,Good for and Mr want more.,feature_request,resolved,low,2026-05-17 22:48:38,2026-05-20 22:48:38,5.0
67,141,Home drive then.,billing,resolved,low,2026-05-17 22:48:59,2026-05-24 02:48:59,3.0
68,133,Purpose loss will.,feature_request,open,low,2026-05-17 22:43:18,,
69,378,Listen hard might return high hair.,technical,closed,medium,2026-05-17 22:41:45,2026-05-20 22:41:45,4.0
70,471,Leader expect bank defense a reflect interview include.,onboarding,resolved,low,2026-05-17 22:39:33,2026-05-24 19:39:33,4.0
71,143,Look figure ability.,onboarding,open,medium,2026-05-17 22:56:16,,
72,116,Writer later art that forward.,onboarding,closed,low,2026-05-17 23:01:55,2026-05-22 15:01:55,1.0
73,105,Worker opportunity technology society eye.,onboarding,resolved,medium,2026-05-17 22:59:53,2026-05-20 13:59:53,5.0
74,81,Upon media behind within least.,onboarding,closed,low,2026-05-17 22:44:57,2026-05-20 11:44:57,1.0
75,270,Guy father baby bank difference catch itself.,onboarding,resolved,low,2026-05-17 22:43:23,2026-05-22 01:43:23,3.0
76,282,Along town listen.,billing,closed,medium,2026-05-17 22:56:43,2026-05-19 00:56:43,4.0
77,102,Gas nothing indicate first blood at their.,technical,resolved,medium,2026-05-17 22:53:04,2026-05-19 04:53:04,3.0
78,139,Growth Democrat you now card.,feature_request,resolved,medium,2026-05-17 23:00:59,2026-05-19 04:00:59,4.0
79,481,Give much child other everything east.,onboarding,closed,medium,2026-05-17 22:57:53,2026-05-18 11:57:53,5.0
80,206,Feeling director minute collection.,technical,closed,low,2026-05-17 22:47:02,2026-05-20 08:47:02,5.0
81,389,Subject many article bring.,billing,open,medium,2026-05-17 22:48:04,,
82,202,Well development notice.,billing,in_progress,medium,2026-05-17 22:57:43,,
83,205,Box take you story model.,billing,resolved,low,2026-05-17 22:43:35,2026-05-22 10:43:35,2.0
84,100,Standard bring during east force team alone.,feature_request,resolved,high,2026-05-17 22:41:07,2026-05-18 17:41:07,4.0
85,411,Say that room or above.,billing,resolved,medium,2026-05-17 22:52:19,2026-05-20 19:52:19,2.0
86,88,Build himself middle someone.,technical,in_progress,medium,2026-05-17 22:50:41,,
87,167,Past room many move medical fish if.,billing,resolved,high,2026-05-17 22:40:51,2026-05-18 12:40:51,4.0
88,406,Involve level environmental remain create evening.,feature_request,closed,medium,2026-05-17 22:39:42,2026-05-19 09:39:42,3.0
89,314,Word themselves certainly hotel tax fall agency.,onboarding,open,low,2026-05-17 23:02:45,,
90,98,Environment area offer first town recent tend.,billing,in_progress,medium,2026-05-17 22:59:20,,
91,298,Movie amount produce clear trip society including soldier.,billing,in_progress,high,2026-05-17 23:00:28,,
92,56,Avoid full only present.,onboarding,resolved,medium,2026-05-17 22:59:27,2026-05-18 10:59:27,1.0
93,216,Conference director produce deal agreement.,onboarding,resolved,medium,2026-05-17 22:49:43,2026-05-20 22:49:43,3.0
94,367,Perhaps religious support appear office not.,technical,resolved,medium,2026-05-17 22:44:54,2026-05-19 22:44:54,4.0
95,209,Area year fill after mind.,technical,resolved,medium,2026-05-17 23:01:29,2026-05-20 11:01:29,1.0
96,385,Investment else late exist indicate people.,billing,resolved,low,2026-05-17 23:02:13,2026-05-21 11:02:13,4.0
97,395,Arrive note clearly anyone administration.,technical,open,high,2026-05-17 23:02:18,,
98,296,Your so population identify this.,onboarding,resolved,high,2026-05-17 22:58:14,2026-05-18 03:58:14,3.0
99,108,Fund myself save stock plan none.,technical,open,medium,2026-05-17 22:46:51,,
100,21,High ago still establish.,onboarding,closed,medium,2026-05-17 22:53:02,2026-05-20 15:53:02,4.0
101,185,Of like everyone four.,technical,closed,medium,2026-05-17 22:54:09,2026-05-20 12:54:09,5.0
102,84,Guy beat happen ok.,feature_request,resolved,critical,2026-05-17 22:39:19,2026-05-18 00:39:19,5.0
103,217,Ready result rich agreement actually for political.,onboarding,resolved,critical,2026-05-17 22:47:29,2026-05-18 06:47:29,3.0
104,290,Nothing window tend cold.,onboarding,in_progress,medium,2026-05-17 23:02:44,,
105,153,Major difference style national peace source lot.,technical,closed,critical,2026-05-17 22:50:34,2026-05-18 00:50:34,5.0
106,372,Admit sport box media skin.,billing,closed,high,2026-05-17 23:00:13,2026-05-18 03:00:13,2.0
107,83,Total team certainly experience marriage employee figure.,onboarding,in_progress,low,2026-05-17 22:42:43,,
108,14,Pm entire apply someone parent.,billing,closed,high,2026-05-17 22:44:17,2026-05-18 03:44:17,1.0
109,291,Enough be successful subject team article.,technical,closed,medium,2026-05-17 22:51:56,2026-05-19 05:51:56,5.0
110,345,Southern analysis particular word form finish trial.,billing,open,low,2026-05-17 22:56:52,,
111,134,Way story serious same.,technical,in_progress,critical,2026-05-17 22:43:30,,
112,273,Its hour challenge add human medical.,billing,resolved,medium,2026-05-17 22:43:44,2026-05-19 12:43:44,4.0
113,281,Artist avoid contain would smile beat.,technical,resolved,low,2026-05-17 23:00:04,2026-05-19 03:00:04,5.0
114,405,Fall enter over mission former change party have.,technical,in_progress,medium,2026-05-17 22:55:44,,
115,327,Else carry allow owner area.,technical,resolved,low,2026-05-17 22:57:36,2026-05-22 11:57:36,3.0
116,365,Almost leave national anything five.,onboarding,resolved,high,2026-05-17 23:00:53,2026-05-18 20:00:53,1.0
117,426,Fly determine bit party lead left room.,technical,resolved,medium,2026-05-17 22:54:34,2026-05-18 14:54:34,5.0
118,322,May hard whatever would social which.,feature_request,in_progress,medium,2026-05-17 22:54:30,,
119,428,Few leg career civil example.,technical,resolved,high,2026-05-17 23:01:41,2026-05-18 16:01:41,2.0
120,191,They value writer I.,technical,resolved,medium,2026-05-17 22:47:44,2026-05-18 23:47:44,4.0
121,332,Son Congress general benefit do language.,technical,resolved,medium,2026-05-17 22:45:35,2026-05-20 14:45:35,3.0
122,443,Entire occur despite.,technical,resolved,low,2026-05-17 22:45:49,2026-05-19 02:45:49,4.0
123,300,Show avoid note reality sister country deep.,technical,in_progress,low,2026-05-17 22:39:22,,
124,28,Real particularly medical investment.,billing,resolved,high,2026-05-17 23:01:37,2026-05-18 20:01:37,4.0
125,359,Job pay full writer perhaps.,onboarding,closed,critical,2026-05-17 22:56:37,2026-05-18 04:56:37,4.0
126,39,Hear why director positive.,technical,closed,high,2026-05-17 22:55:25,2026-05-18 08:55:25,5.0
127,5,Economic present Mrs father hospital information.,technical,closed,medium,2026-05-17 23:00:15,2026-05-19 20:00:15,3.0
128,408,Meeting think brother black lose young.,technical,closed,low,2026-05-17 22:44:12,2026-05-22 23:44:12,1.0
129,158,Compare wonder industry seat.,technical,in_progress,high,2026-05-17 23:02:42,,
130,13,Citizen would most start trade.,onboarding,open,medium,2026-05-17 22:56:23,,
131,143,Agent claim this both.,technical,closed,high,2026-05-17 22:51:48,2026-05-18 03:51:48,4.0
132,341,Continue heavy under growth country woman.,technical,in_progress,low,2026-05-17 22:51:09,,
133,60,Push detail there leave size inside describe.,billing,resolved,critical,2026-05-17 22:43:33,2026-05-18 04:43:33,3.0
134,309,Protect just stay sense store else.,technical,resolved,low,2026-05-17 23:03:12,2026-05-24 06:03:12,3.0
135,167,Close growth people remain point Republican fly other.,feature_request,resolved,low,2026-05-17 22:59:09,2026-05-19 23:59:09,4.0
136,144,Difference employee free trial know at those bag.,onboarding,in_progress,low,2026-05-17 22:59:32,,
137,140,Hit note cell reflect.,onboarding,resolved,low,2026-05-17 22:55:59,2026-05-19 16:55:59,3.0
138,283,Husband travel card memory agent onto.,billing,resolved,medium,2026-05-17 22:53:42,2026-05-19 16:53:42,4.0
139,138,Compare particularly against.,technical,resolved,medium,2026-05-17 22:46:30,2026-05-18 08:46:30,4.0
140,403,Population method fly go four.,onboarding,resolved,medium,2026-05-17 22:42:43,2026-05-19 01:42:43,4.0
141,151,Term like drop result region.,technical,resolved,medium,2026-05-17 22:49:49,2026-05-19 09:49:49,3.0
142,71,Practice really ok your.,onboarding,resolved,high,2026-05-17 22:55:03,2026-05-18 11:55:03,1.0
143,273,Always similar least.,technical,resolved,medium,2026-05-17 22:41:42,2026-05-19 14:41:42,4.0
144,468,Though education job true event do.,technical,resolved,medium,2026-05-17 22:50:54,2026-05-19 11:50:54,3.0
145,481,Pull you interview although for involve couple career.,technical,resolved,medium,2026-05-17 22:43:55,2026-05-19 14:43:55,1.0
146,149,Ok share attorney successful.,onboarding,resolved,low,2026-05-17 22:47:47,2026-05-21 06:47:47,4.0
147,401,Nature war eye surface paper into.,feature_request,resolved,high,2026-05-17 22:55:43,2026-05-18 08:55:43,3.0
148,399,Real event stage rich.,feature_request,resolved,low,2026-05-17 22:57:14,2026-05-22 23:57:14,5.0
149,15,Democratic people left miss lay.,feature_request,resolved,low,2026-05-17 22:50:50,2026-05-21 17:50:50,5.0
150,117,Fast health remember church far structure all.,technical,closed,medium,2026-05-17 22:49:24,2026-05-19 22:49:24,5.0
151,331,Manage this anyone people.,feature_request,resolved,medium,2026-05-17 22:51:36,2026-05-19 07:51:36,4.0
152,350,Subject rich sometimes official exactly quality majority.,onboarding,in_progress,medium,2026-05-17 22:41:15,,
153,257,Until benefit scientist including no.,feature_request,in_progress,low,2026-05-17 22:39:26,,
154,289,Million behavior important even.,onboarding,resolved,low,2026-05-17 22:46:49,2026-05-20 04:46:49,3.0
155,413,Him data notice to research mention left.,feature_request,resolved,low,2026-05-17 23:00:57,2026-05-21 13:00:57,2.0
156,413,Simple cup writer door fight employee despite.,feature_request,resolved,high,2026-05-17 23:03:07,2026-05-18 20:03:07,5.0
157,332,Prevent type throw participant.,billing,in_progress,low,2026-05-17 22:40:12,,
158,344,Quickly to six generation.,feature_request,closed,low,2026-05-17 22:44:18,2026-05-22 22:44:18,5.0
159,325,Remain call rule yeah ready.,feature_request,in_progress,high,2026-05-17 22:48:29,,
160,419,Usually music person put prepare side without.,billing,in_progress,medium,2026-05-17 22:43:05,,
161,413,Third no close election worry including.,onboarding,resolved,medium,2026-05-17 22:53:16,2026-05-20 10:53:16,2.0
162,21,More true onto.,technical,in_progress,low,2026-05-17 22:59:41,,
163,57,Own beat herself population.,feature_request,resolved,medium,2026-05-17 22:59:50,2026-05-19 12:59:50,4.0
164,206,Difficult more magazine law attention at.,feature_request,resolved,medium,2026-05-17 22:59:56,2026-05-20 22:59:56,4.0
165,333,Democratic half something Mr development discussion contain.,technical,closed,low,2026-05-17 22:55:31,2026-05-20 14:55:31,2.0
166,133,Chance reflect director sign miss stage health.,feature_request,in_progress,low,2026-05-17 22:54:23,,
167,161,Citizen catch step middle dog south.,technical,resolved,low,2026-05-17 22:53:48,2026-05-23 11:53:48,3.0
168,438,Why writer special back manage.,onboarding,closed,high,2026-05-17 23:02:00,2026-05-18 07:02:00,4.0
169,318,Difficult any small series.,feature_request,open,low,2026-05-17 22:45:31,,
170,452,Central raise agency face coach focus weight.,billing,resolved,high,2026-05-17 22:49:20,2026-05-18 04:49:20,4.0
171,459,Alone themselves job partner party once stock economic.,onboarding,open,low,2026-05-17 22:58:54,,
172,440,Good ground particularly eight.,onboarding,closed,medium,2026-05-17 22:58:43,2026-05-18 17:58:43,3.0
173,398,Generation month ask.,billing,closed,high,2026-05-17 22:46:20,2026-05-18 20:46:20,3.0
174,135,Challenge entire eight gun not like.,onboarding,resolved,low,2026-05-17 22:49:24,2026-05-23 17:49:24,5.0
175,407,Bank set pull choice song south coach.,technical,in_progress,medium,2026-05-17 22:46:26,,
176,280,Inside half every bit woman energy rich.,feature_request,open,high,2026-05-17 22:54:09,,
177,330,Message agent sing why eye read offer.,onboarding,in_progress,low,2026-05-17 23:01:13,,
178,237,Probably technology sense war.,onboarding,resolved,low,2026-05-17 22:57:14,2026-05-22 22:57:14,4.0
179,17,Friend factor fund body.,feature_request,resolved,medium,2026-05-17 22:45:12,2026-05-18 17:45:12,5.0
180,175,Source ago impact poor create agent financial perform.,feature_request,resolved,high,2026-05-17 22:40:47,2026-05-18 09:40:47,4.0
181,362,Pattern strategy recently health.,onboarding,resolved,medium,2026-05-17 22:42:39,2026-05-20 03:42:39,5.0
182,224,Kitchen day necessary public inside child.,billing,closed,high,2026-05-17 22:55:15,2026-05-18 18:55:15,3.0
183,98,Break theory not bank quality full box.,technical,resolved,high,2026-05-17 22:47:13,2026-05-18 10:47:13,2.0
184,306,Close inside response positive adult message health.,feature_request,resolved,critical,2026-05-17 22:49:10,2026-05-18 00:49:10,4.0
185,196,Nature Mr story set.,feature_request,open,medium,2026-05-17 22:56:41,,
186,410,Foot car expert service available politics successful.,billing,closed,medium,2026-05-17 22:42:44,2026-05-18 22:42:44,4.0
187,487,Although sit remember raise.,feature_request,resolved,medium,2026-05-17 22:40:52,2026-05-19 14:40:52,4.0
188,228,But develop government all lot college.,feature_request,resolved,low,2026-05-17 22:54:36,2026-05-21 07:54:36,3.0
189,461,Detail court expert often image.,feature_request,open,medium,2026-05-17 22:58:51,,
190,335,Serve again health cold bar win.,onboarding,in_progress,medium,2026-05-17 23:01:28,,
191,197,Very return through lot.,technical,open,high,2026-05-17 22:49:38,,
192,481,Before quite speech add market summer blue heart.,onboarding,resolved,low,2026-05-17 23:02:24,2026-05-22 20:02:24,4.0
193,79,What carry nearly continue form boy appear.,feature_request,in_progress,high,2026-05-17 22:52:56,,
194,321,Air challenge knowledge act available pull sort hope.,technical,resolved,medium,2026-05-17 23:01:30,2026-05-19 09:01:30,5.0
195,272,Listen real interview common hair over adult.,billing,resolved,medium,2026-05-17 22:50:56,2026-05-18 16:50:56,4.0
196,101,Common another change whose great often administration.,technical,in_progress,low,2026-05-17 22:48:25,,
197,371,Hour college still thus part.,billing,closed,medium,2026-05-17 22:39:34,2026-05-19 09:39:34,4.0
198,492,Rather win mention action base develop.,technical,resolved,medium,2026-05-17 22:40:09,2026-05-19 20:40:09,5.0
199,373,Single law shake woman position drug.,technical,resolved,low,2026-05-17 22:50:04,2026-05-21 12:50:04,4.0
200,43,Entire serious read outside support benefit.,onboarding,closed,medium,2026-05-17 22:53:55,2026-05-19 19:53:55,2.0
201,428,Record career between.,billing,resolved,high,2026-05-17 22:41:13,2026-05-18 06:41:13,5.0
202,182,Visit drive better direction assume.,billing,in_progress,low,2026-05-17 23:02:07,,
203,423,Agree total attack choice fill job chair debate.,technical,in_progress,high,2026-05-17 22:59:18,,
204,440,Value detail look.,feature_request,open,high,2026-05-17 23:00:17,,
205,192,Soldier threat still can enjoy guess war.,feature_request,resolved,high,2026-05-17 22:45:31,2026-05-18 19:45:31,2.0
206,63,Some hospital reflect star still.,feature_request,resolved,medium,2026-05-17 22:58:07,2026-05-20 07:58:07,5.0
207,335,May on parent officer push around price mouth.,billing,resolved,medium,2026-05-17 22:45:28,2026-05-18 21:45:28,5.0
208,320,Country analysis court indicate.,technical,closed,medium,2026-05-17 22:52:13,2026-05-18 23:52:13,4.0
209,343,Congress six win write Republican glass television of.,feature_request,resolved,low,2026-05-17 22:58:12,2026-05-24 03:58:12,3.0
210,34,Specific direction set election national argue in.,onboarding,in_progress,low,2026-05-17 23:00:24,,
211,382,Somebody rather so must clearly gun stay billion.,feature_request,resolved,medium,2026-05-17 23:00:34,2026-05-20 21:00:34,4.0
212,69,Politics avoid would power.,billing,open,medium,2026-05-17 22:48:27,,
213,49,Member author very weight realize.,technical,resolved,high,2026-05-17 22:41:54,2026-05-18 04:41:54,4.0
214,91,Just believe food personal have reflect war.,onboarding,resolved,high,2026-05-17 22:50:56,2026-05-18 12:50:56,4.0
215,242,Tv including red professor goal.,feature_request,resolved,medium,2026-05-17 22:44:05,2026-05-19 15:44:05,5.0
216,29,Politics down a nature economy story.,feature_request,resolved,medium,2026-05-17 22:45:39,2026-05-20 08:45:39,5.0
217,438,In road bill move article.,onboarding,resolved,low,2026-05-17 22:40:28,2026-05-23 11:40:28,5.0
218,17,Cost mind knowledge six research everyone culture.,onboarding,resolved,low,2026-05-17 22:42:48,2026-05-23 22:42:48,4.0
219,488,Buy billion daughter although.,feature_request,closed,medium,2026-05-17 22:54:55,2026-05-19 00:54:55,5.0
220,40,Whatever majority stage card large wish.,technical,closed,medium,2026-05-17 22:42:37,2026-05-20 06:42:37,4.0
221,98,Manager must month might.,technical,resolved,medium,2026-05-17 22:55:29,2026-05-19 09:55:29,5.0
222,119,Debate participant begin.,feature_request,resolved,high,2026-05-17 22:52:50,2026-05-18 18:52:50,3.0
223,197,Free rise relate detail rich pattern price.,feature_request,resolved,medium,2026-05-17 22:49:07,2026-05-20 05:49:07,4.0
224,377,Policy word item look car.,onboarding,resolved,medium,2026-05-17 22:49:25,2026-05-19 15:49:25,5.0
225,188,Fear rich traditional social just.,onboarding,in_progress,critical,2026-05-17 22:41:46,,
226,1,Forget dinner leg couple well win tough.,technical,closed,low,2026-05-17 22:58:59,2026-05-24 08:58:59,4.0
227,243,Night support radio all.,feature_request,resolved,medium,2026-05-17 22:45:19,2026-05-20 10:45:19,5.0
228,6,Around themselves page idea mind sure stage.,feature_request,resolved,high,2026-05-17 22:52:38,2026-05-18 01:52:38,4.0
229,375,Season continue life drop country second threat.,billing,in_progress,low,2026-05-17 22:45:55,,
230,404,Address market school receive.,onboarding,resolved,medium,2026-05-17 22:59:58,2026-05-20 10:59:58,5.0
231,496,Lay against particular fight often.,feature_request,closed,low,2026-05-17 23:02:28,2026-05-24 22:02:28,3.0
232,443,Cup computer floor present attorney many.,billing,in_progress,low,2026-05-17 22:47:37,,
233,63,Century black dark itself budget goal responsibility.,billing,in_progress,medium,2026-05-17 22:58:34,,
234,445,Ok often idea indicate.,billing,resolved,medium,2026-05-17 22:41:37,2026-05-20 19:41:37,4.0
235,325,Compare interview no seven company wide marriage.,onboarding,resolved,critical,2026-05-17 22:57:25,2026-05-18 02:57:25,5.0
236,415,Day news everything environment.,billing,in_progress,low,2026-05-17 22:53:58,,
237,361,Attention responsibility individual feeling return arm camera.,billing,in_progress,medium,2026-05-17 22:54:23,,
238,423,Say throughout about mouth.,technical,resolved,high,2026-05-17 22:45:05,2026-05-18 05:45:05,4.0
239,12,Fall bring party couple.,feature_request,open,medium,2026-05-17 22:51:02,,
240,258,Behind most center bill attention great yet.,feature_request,resolved,high,2026-05-17 23:00:27,2026-05-18 01:00:27,4.0
241,218,Hot employee only through cell.,feature_request,open,medium,2026-05-17 22:56:05,,
242,498,Pay run public discussion.,feature_request,resolved,medium,2026-05-17 22:40:54,2026-05-20 19:40:54,3.0
243,332,Yes wear ahead win in.,feature_request,resolved,medium,2026-05-17 22:41:58,2026-05-19 07:41:58,2.0
244,191,Student man cold serve hot smile.,technical,resolved,medium,2026-05-17 22:39:43,2026-05-18 09:39:43,4.0
245,13,Less skill blood.,onboarding,resolved,medium,2026-05-17 22:50:26,2026-05-19 16:50:26,4.0
246,489,Have receive put degree peace.,technical,resolved,medium,2026-05-17 22:47:02,2026-05-20 02:47:02,3.0
247,227,On American night church project reach.,billing,resolved,low,2026-05-17 22:41:55,2026-05-22 18:41:55,3.0
248,268,Political professional chance sell office.,technical,resolved,medium,2026-05-17 22:55:51,2026-05-20 13:55:51,4.0
249,124,Nothing feeling us billion.,onboarding,closed,medium,2026-05-17 22:47:56,2026-05-19 18:47:56,3.0
250,472,Main entire issue spring lawyer drug who.,feature_request,in_progress,high,2026-05-17 22:44:19,,
251,291,However certainly role first deep if single.,onboarding,resolved,medium,2026-05-17 22:48:42,2026-05-20 14:48:42,2.0
252,60,Speech buy number about bed bar author.,onboarding,closed,high,2026-05-17 22:59:12,2026-05-18 14:59:12,5.0
253,499,Expert week common.,feature_request,in_progress,medium,2026-05-17 22:40:15,,
254,58,Sort a red when ball dark.,feature_request,resolved,low,2026-05-17 22:43:18,2026-05-19 18:43:18,4.0
255,276,Agree key understand fight skill threat finally.,feature_request,resolved,low,2026-05-17 22:49:15,2026-05-24 11:49:15,2.0
256,269,White through quality bad leg.,technical,in_progress,low,2026-05-17 22:57:57,,
257,71,Summer start without management increase where.,billing,resolved,low,2026-05-17 22:45:07,2026-05-20 11:45:07,2.0
258,235,Difficult develop upon this investment set guess.,billing,resolved,high,2026-05-17 22:51:11,2026-05-18 04:51:11,5.0
259,24,Three give some owner year.,billing,closed,medium,2026-05-17 22:39:55,2026-05-20 10:39:55,2.0
260,52,Man drop future case.,billing,resolved,low,2026-05-17 22:42:03,2026-05-22 23:42:03,3.0
261,221,Property smile begin police rest finish.,feature_request,in_progress,medium,2026-05-17 22:46:42,,
262,360,Parent language care social win product scientist.,feature_request,resolved,medium,2026-05-17 22:42:27,2026-05-19 12:42:27,1.0
263,20,Wife debate team room wide dog chance.,billing,resolved,medium,2026-05-17 22:48:23,2026-05-19 16:48:23,4.0
264,346,Executive drive choose low.,feature_request,closed,medium,2026-05-17 22:43:52,2026-05-20 13:43:52,4.0
265,223,Popular page impact.,billing,in_progress,high,2026-05-17 22:55:17,,
266,28,Apply language whether similar despite understand future material.,billing,resolved,high,2026-05-17 23:01:36,2026-05-18 21:01:36,4.0
267,253,Throw especially weight rise wonder again determine.,onboarding,open,critical,2026-05-17 22:53:41,,
